# Generated 2025/02/17 15:09:35 by OpenQuake Engine v3.16.0 and OpenQuake Integrated Risk Modelling Toolkit v3.16.3,,,,,,,,,,,,,,,,,,,,,,,
# poe = 0.02000,,,,,,,,,,,,,,,,,,,,,,,
# return_period = 2500,,,,,,,,,,,,,,,,,,,,,,,
lon,lat,mean_PGA,mean_SA(0.01),mean_SA(0.02),mean_SA(0.03),mean_SA(0.05),mean_SA(0.075),mean_SA(0.1),mean_SA(0.15),mean_SA(0.2),mean_SA(0.25),mean_SA(0.3),mean_SA(0.4),mean_SA(0.5),mean_SA(0.75),mean_SA(1.0),mean_SA(1.5),mean_SA(2.0),mean_SA(3.0),mean_SA(4.0),mean_SA(5.0),mean_SA(7.5),mean_SA(10.0)
-115.3567122,32.36624345,0.969444931,0.956042349,0.970375121,1.03474164,1.180775046,1.375312805,1.571141481,1.943983555,2.038941622,2.053677797,2.037032127,1.868978858,1.693683028,1.46535635,1.308413506,0.988830328,0.778966367,0.501075029,0.347674519,0.250049025,0.110090733,0.054566864
-115.3567315,32.36174685,0.979674518,0.965746641,0.980444729,1.045517325,1.191947222,1.382516265,1.581716895,1.955941677,2.042888165,2.058470011,2.043272972,1.884592652,1.708812714,1.479588985,1.32521677,1.00063014,0.789695919,0.507979095,0.352518559,0.253609657,0.111555524,0.055201754
-115.3565962,32.3932231,0.955662131,0.943746567,0.95742631,1.018443942,1.157090425,1.358688354,1.546362162,1.907015681,2.018218517,2.038810253,2.007757425,1.837187171,1.66766119,1.442427874,1.280709982,0.970180631,0.761806548,0.489602327,0.339253545,0.24364166,0.107284971,0.053373944
-115.3566155,32.38872649,0.951950788,0.940446377,0.954153776,1.014811277,1.155974865,1.35797143,1.545373559,1.909119725,2.020852327,2.039578438,2.008374691,1.835522413,1.664846897,1.439488053,1.277298689,0.967804849,0.759764552,0.488459736,0.338564754,0.243214533,0.107128039,0.05331004
-115.3566349,32.38422989,0.95113939,0.939773619,0.953476071,1.014127254,1.157424688,1.358883381,1.546666861,1.913374186,2.025751114,2.041297913,2.012106895,1.837384105,1.665587425,1.439877272,1.277863145,0.968153417,0.760159135,0.488832235,0.338919699,0.243528217,0.107282408,0.053379055
-115.3566542,32.37973328,0.952735782,0.941188931,0.955017507,1.016334414,1.16106236,1.361414433,1.550434113,1.919468164,2.030498266,2.043780327,2.018465281,1.842231989,1.669391155,1.443174481,1.28182888,0.97081238,0.762623549,0.490497619,0.340163022,0.244477615,0.107706316,0.053559162
-115.3565187,32.41120953,0.984236062,0.970964849,0.986071765,1.049091101,1.17952168,1.373214364,1.563408971,1.912640691,2.022997618,2.041915894,2.024715424,1.86626327,1.702328205,1.476452231,1.320335388,0.997350752,0.785441935,0.503806651,0.348516226,0.249971494,0.109812282,0.054411314
-115.3565381,32.40671293,0.975944281,0.962848902,0.977501214,1.039664865,1.17178154,1.367760539,1.557718396,1.90955317,2.019961834,2.040403128,2.018161297,1.856325269,1.690734982,1.465071678,1.307075262,0.988273859,0.777493358,0.499011159,0.345352829,0.247796759,0.108940251,0.054053456
-115.3565574,32.40221632,0.968160689,0.95537585,0.969582498,1.031204462,1.165237308,1.363476157,1.552782059,1.907415867,2.017946482,2.039302826,2.012920856,1.847915888,1.680858135,1.455415964,1.295820713,0.98060149,0.770819664,0.494971037,0.342706829,0.245985165,0.108214483,0.053755857
-115.3565768,32.39771971,0.961242378,0.948871434,0.962684095,1.024025559,1.160237193,1.360524893,1.548896074,1.906505108,2.01727128,2.038730383,2.009323359,1.841367722,1.673047185,1.44775784,1.286884785,0.974466622,0.765495777,0.49177134,0.340636164,0.24456498,0.107646547,0.053523265
-115.3564412,32.42919597,1.031235099,1.018061161,1.035461903,1.102823138,1.230450869,1.406957626,1.599754095,1.941976428,2.037575245,2.060474634,2.053463936,1.937849522,1.783820987,1.559642792,1.398068309,1.06657815,0.847316027,0.54206574,0.374210775,0.265608668,0.11616417,0.057378028
-115.3564606,32.42469936,1.017882943,1.004598856,1.021348119,1.087627172,1.21545136,1.397238851,1.589346766,1.932897925,2.034375429,2.05343771,2.044683218,1.915960312,1.758752227,1.533448696,1.373622298,1.044324517,0.827242017,0.529579043,0.365795851,0.260718077,0.114169039,0.056413595
-115.3564799,32.42020275,1.004659653,0.991306305,1.007425427,1.072567225,1.200900316,1.387632132,1.578925014,1.924049735,2.031309605,2.047386646,2.036901712,1.895147562,1.735196948,1.509270787,1.351181984,1.024070382,0.80910486,0.518351316,0.358214349,0.256307304,0.112357214,0.055532955
-115.3564993,32.41570614,0.992688656,0.979324937,0.994871259,1.058884621,1.188049555,1.379040003,1.569586992,1.916555524,2.027015686,2.043766499,2.030770302,1.877318263,1.715051413,1.488969684,1.332495928,1.007378221,0.794238627,0.509150088,0.352038652,0.25241679,0.110793404,0.054811116
-115.3608649,32.64053654,0.928346157,0.916891694,0.929682553,0.984831035,1.098062634,1.310121894,1.468883634,1.762083054,1.857789636,1.891577363,1.860623598,1.719892502,1.565196037,1.344232798,1.162774444,0.881233156,0.678506613,0.430914938,0.294910043,0.209438294,0.092010304,0.046325225
-115.3608843,32.63603994,0.923052967,0.91170007,0.924205303,0.978642225,1.091181397,1.306286454,1.463029623,1.755472779,1.850771785,1.884016514,1.852410078,1.711176515,1.556649566,1.336144328,1.154185891,0.87509793,0.67364049,0.428003997,0.293013841,0.208141655,0.091509379,0.046090111
-115.3609036,32.63154333,0.917695701,0.906489372,0.91871959,0.972369254,1.084109545,1.302444935,1.456998944,1.748598099,1.843456745,1.876223922,1.84398818,1.702349186,1.54805398,1.32803905,1.145723581,0.867954195,0.668848038,0.425151438,0.291161954,0.206878886,0.0910258,0.045863252
-115.3609229,32.62704672,0.912512064,0.90146786,0.913418531,0.966228306,1.077086568,1.298739433,1.45101881,1.741699696,1.836142659,1.868516088,1.835670471,1.693756819,1.539757013,1.319258332,1.137689471,0.861230195,0.664343357,0.422482103,0.289435476,0.205704585,0.090578981,0.045654699
-115.3607876,32.65852298,0.955956399,0.944253147,0.958370209,1.01629281,1.132017016,1.330501556,1.497085094,1.793749094,1.89168191,1.928720832,1.901863813,1.765663266,1.611581087,1.389183044,1.212532401,0.915694177,0.707497418,0.448490441,0.306532741,0.217492223,0.095165923,0.047824785
-115.3608069,32.65402637,0.948790491,0.937119007,0.950902104,1.008180976,1.123361349,1.325086474,1.489999771,1.785842299,1.88313663,1.919283748,1.891302705,1.753737688,1.599265456,1.377130508,1.198950529,0.906306922,0.699515522,0.443630576,0.30330652,0.215250656,0.094284862,0.047405694
-115.3608263,32.64952976,0.941116571,0.929494441,0.942924082,0.999478281,1.114031076,1.319436193,1.482306957,1.77723074,1.873871446,1.909086943,1.879935741,1.740990639,1.586274981,1.364492178,1.184850097,0.896538615,0.691261649,0.438617498,0.299987853,0.212947756,0.093379982,0.046974748
-115.3608456,32.64503315,0.933465898,0.921931326,0.934991956,0.990767777,1.104624629,1.313884139,1.474412084,1.768355012,1.864408135,1.898724794,1.868463874,1.728330851,1.573536396,1.352182388,1.171340346,0.887151122,0.683401287,0.433852553,0.296834707,0.21076344,0.092523091,0.046567071
-115.3607102,32.67650941,0.982462525,0.970811903,0.986254156,1.04633534,1.163776517,1.351166725,1.522359967,1.821536064,1.922266126,1.963161588,1.94103384,1.811491847,1.660519719,1.438555956,1.269867659,0.955329657,0.741821587,0.469620019,0.320663691,0.227356091,0.099045962,0.049531158
-115.3607295,32.6720128,0.974164665,0.96245122,0.977466047,1.036933661,1.154016376,1.344774008,1.514836907,1.813351393,1.913037062,1.952569127,1.928784728,1.796772599,1.644382477,1.421932578,1.250254393,0.941711068,0.729923189,0.462276429,0.315742791,0.223911554,0.097686253,0.048986115
-115.3607489,32.66751619,0.966553152,0.954815567,0.969453514,1.028328776,1.144950747,1.338843942,1.507624269,1.805447936,1.904315948,1.942723632,1.917573094,1.783612967,1.630316496,1.407743096,1.233743548,0.9303056,0.720030725,0.456189096,0.311668962,0.221063882,0.096563809,0.04848716
-115.3607682,32.66301958,0.961996138,0.950279176,0.964691877,1.023146868,1.139366269,1.335204244,1.503073215,1.80039835,1.898883224,1.936693668,1.910802007,1.775865436,1.622215986,1.399722576,1.224541187,0.923992097,0.714604437,0.452849627,0.309438944,0.219513431,0.095959313,0.048201393
-115.3567509,32.35725024,0.9908849,0.97668159,0.991776049,1.057636023,1.204540491,1.391510606,1.593019366,1.968851447,2.047044754,2.063567877,2.049982071,1.902338266,1.726486921,1.496416688,1.340667605,1.014650106,0.802496135,0.516200662,0.358270109,0.25713101,0.113030665,0.055951003
